#TYPE System.Management.Automation.PSCustomObject
"Stock","EntryDailyRating","EntryWeeklyRating","EntryOverallRating","EntryDate","EntryPrice","ExitDate","ExitPrice","MaxProtif","MaxDrawdown","PercentGainLoss","Triggers","D_CCI","W_CCI"
"2GO","1","0","1","2018-05-29","16.1","2018-05-30","15.8","0","-1.86","-1.86","D: KS Cross Buy","-16.9753086419753","-111.613272072478"
"2GO","2","0","2","2018-07-27","14.6","2018-07-31","14.08","0","-3.56","-3.56","D: KS Cross Buy","11.3436457385502","-107.126773249268"
"2GO","1","0","1","2018-08-01","14.48","2018-08-06","14.1","0.14","-2.62","-2.62","D: KS Cross Buy","-19.8812844167921","-93.31842435656"
"2GO","1","0","1","2018-08-08","14.3","2018-08-13","14.1","0","-1.4","-1.4","D: KS Cross Buy","-1.55193437534654","-94.2850507737455"
"2GO","2","0","2","2018-10-19","11.28","2018-10-25","10.32","0","-8.51","-8.51","D: KS Cross Buy","61.0564121617438","-135.93852768019"
"2GO","2","0","2","2018-10-30","10.72","2018-11-08","10.02","0","-6.53","-6.53","D: KS Cross Buy","23.0659318228209","-100.865091682474"
"2GO","2","0","2","2018-12-04","10.9","2018-12-10","10.58","0","-2.94","-2.94","D: KS Cross Buy","191.890947221252","-50.0202404210007"
"2GO","4","0","4","2018-12-11","11.1","2018-12-14","14.8","33.33","0","33.33","D: KS Cross Buy","86.453399087232","-35.0426183759517"
"8990P","4","4","8","2017-12-12","101.9","2017-12-14","101.1","0","-0.79","-0.79","D: KS Cross Buy","602.339181286572","666.666666666667"
"8990P","4","4","8","2017-12-15","101.9","2017-12-21","101.1","0","-0.79","-0.79","D: KS Cross Buy","351.369405477619","666.666666666667"
"8990P","4","4","8","2017-12-22","102.2","2017-12-29","100.2","0","-1.96","-1.96","D: KS Cross Buy","146.742567994943","503.030303030298"
"8990P","4","4","8","2018-01-03","102","2018-02-14","101.3","0","-0.69","-0.69","D: KS Cross Buy","52.2538041917902","233.333333333327"
"8990P","4","4","8","2018-02-21","101.9","2018-02-23","101.6","0","-0.29","-0.29","D: KS Cross Buy","126.556016597514","79.6597061098247"
"8990P","2","3","5","2018-03-12","101.5","2018-03-22","100.7","0.39","-0.79","-0.79","D: KS Cross Buy","-39.9385560675882","-46.4197530864183"
"8990P","3","4","7","2018-03-23","101.7","2018-03-26","100.2","0","-1.47","-1.47","D: KS Cross Buy","98.9583333333373","17.2757475083091"
"8990P","2","3","5","2018-04-05","101.5","2018-04-06","100.5","0","-0.99","-0.99","D: KS Cross Buy","84.5568243610668","-35.1210251542471"
"8990P","1","0","1","2018-05-28","99.45","2018-05-29","97.3","0","-2.16","-2.16","D: KS Cross Buy","-202.854230377167","-171.859296482412"
"8990P","2","1","3","2018-06-01","100.2","2018-06-04","97.5","-2.69","0","-2.69","D: KS Cross Buy","16.9509709258673","-160.744500846025"
"8990P","2","1","3","2018-06-06","100.2","2018-08-15","99.7","-0.3","0","-0.5","D: KS Cross Buy","26.4473472020647","-130.57583130576"
"8990P","5","2","7","2018-08-17","101.1","2018-08-24","99.6","-1.48","0","-1.48","D: KS Cross Buy","41.1829740187955","76.0517799352746"
"8990P","3","1","4","2018-09-17","100","2018-09-21","96","-4","0","-4","D: KS Cross Buy","-195.992714025503","-177.220756376429"
"8990P","1","1","2","2018-10-04","98","2018-10-09","95.2","0","-2.86","-2.86","D: KS Cross Buy","-25.6871564217879","-156.6892400301"
"8990P","2","2","4","2018-10-23","99","2018-10-24","96","0","-3.03","-3.03","D: KS Cross Buy","163.156702898551","2.2412807318463"
"8990P","2","0","2","2018-10-25","96.8","2018-10-29","95.65","0","-1.19","-1.19","D: KS Cross Buy","27.9767997270546","-80.3820965252578"
"8990P","2","1","3","2018-10-30","98.95","2018-11-12","96.8","0","-2.17","-2.17","D: KS Cross Buy","175.046554934824","-45.3200372937691"
"8990P","2","0","2","2018-12-10","97","2018-12-14","95","0","-2.06","-2.06","D: KS Cross Buy","42.8187403993851","-29.0150511330817"
"8990P","2","0","2","2018-12-18","96.9","2018-12-26","96","0","-0.93","-0.93","D: KS Cross Buy","70.2541106128563","-50.1722652885441"
"8990P","2","0","2","2019-01-10","96","2019-01-11","95","0","-1.04","-1.04","D: KS Cross Buy","31.857976653698","-61.2244897959181"
"AB","4","5","9","2018-02-15","17.8","2018-02-19","17.98","1.01","0","1.01","D: KS Cross Buy","216.335540838852","121.272365805169"
"AB","2","4","6","2018-04-04","19","2018-04-17","17","0","-10.53","-10.53","D: KS Cross Buy","136.847118590253","112.515489467162"
"AB","3","4","7","2018-04-18","18.4","2018-05-23","17.9","0","-2.72","-2.72","D: KS Cross Buy","6.30630630630578","68.4333776976599"
"AB","1","3","4","2018-05-25","18.18","2018-06-08","28.7","57.87","0","57.87","D: KS Cross Buy","-25.8793511937305","28.8555714608602"
"AB","3","4","7","2018-08-01","23.35","2018-08-10","21.5","0","-7.92","-7.92","D: KS Cross Buy","130.485453351132","52.0113683595638"
"AB","2","2","4","2018-10-03","19.7","2018-10-04","17.04","0","-13.5","-13.5","D: KS Cross Buy","23.7981153170421","-69.7398769861608"
"AB","2","0","2","2018-10-22","17.48","2018-10-25","15","0","-14.19","-14.19","D: KS Cross Buy","1.7357762777245","-103.782103782104"
"AB","2","0","2","2018-11-16","15.78","2018-11-22","13.58","0","-13.94","-13.94","D: KS Cross Buy","5.76784426820487","-101.195145197068"
"AB","2","0","2","2018-12-04","14.7","2019-01-16","15.38","4.63","0","4.63","D: KS Cross Buy","63.4938388978987","-78.899507674486"
"AB","2","0","2","2019-03-08","13.7","2019-03-13","13.5","0","-1.46","-1.46","D: KS Cross Buy","16.6487921965156","-80.016214025132"
"ABA","3","0","3","2018-03-01","0.315","2018-03-08","0.32","1.59","0","1.59","D: KS Cross Buy","285.714285714284","-17.6544766708701"
"ABA","2","1","3","2018-06-05","0.3","2018-06-14","0.27","0","-10","-10","D: KS Cross Buy","70.7449022055763","-77.2616136919315"
"ABA","3","0","3","2018-08-13","0.26","2018-08-16","0.28","7.69","0","7.69","D: KS Cross Buy","370.739817123859","-17.7485292651312"
"ABA","5","3","8","2018-08-17","0.31","2018-10-03","0.42","35.48","0","35.48","D: KS Cross Buy","197.988064791134","89.4717261904761"
"ABA","5","5","10","2018-10-08","0.435","2018-10-09","0.42","0","-3.45","-3.45","D: KS Cross Buy","90.7578997386553","109.001080747259"
"ABA","5","5","10","2018-10-15","0.435","2018-10-16","0.425","0","-2.3","-2.3","D: KS Cross Buy","47.7502295684116","92.3414166324153"
"ABA","5","5","10","2018-10-17","0.435","2018-11-05","0.45","3.45","0","3.45","D: KS Cross Buy","90.9090909090911","93.6699430621755"
"ABA","5","5","10","2018-11-06","0.47","2018-11-07","0.42","0","-10.64","-10.64","D: KS Cross Buy","46.7511885895402","84.9863596430388"
"ABA","4","5","9","2018-11-16","0.475","2019-01-22","0.65","36.84","0","36.84","D: KS Cross Buy","52.5197328476017","74.212271973466"
"ABA","4","5","9","2019-01-23","0.69","2019-01-24","0.66","0","-4.35","-4.35","D: KS Cross Buy","-13.6518771331056","100.414867496402"
"ABA","5","5","10","2019-02-04","0.75","2019-02-19","0.71","0","-5.33","-5.33","D: KS Cross Buy","78.534953336855","110.351117191062"
"ABA","3","5","8","2019-03-05","0.78","2019-03-08","0.75","0","-3.85","-3.85","D: KS Cross Buy","-1.57418339236504","92.8851540616247"
"ABA","3","5","8","2019-03-11","0.77","2019-03-13","0.76","0","-1.3","-1.3","D: KS Cross Buy","-7.43875849685746","78.6516853932583"
"ABG","2","1","3","2018-03-16","19.28","2018-03-26","19.92","3.32","0","3.32","D: KS Cross Buy","74.6398952422521","72.0481466066819"
"ABG","3","3","6","2018-05-16","21.1","2018-05-21","20.85","0","-1.18","-1.18","D: KS Cross Buy","84.2335854039126","88.8263467140669"
"ABG","4","3","7","2018-06-13","21.35","2018-06-21","24.1","12.88","0","12.88","D: KS Cross Buy","81.7452769265092","74.4901827003261"
"ABG","5","4","9","2018-07-02","25.9","2018-09-21","29.05","12.16","0","12.16","D: KS Cross Buy","90.974972947752","206.743869209809"
"ABG","2","1","3","2018-12-04","23.25","2018-12-05","21.5","0","-7.53","-7.53","D: KS Cross Buy","51.2206727425788","-85.4382738907192"
"ABG","3","2","5","2018-12-06","29.35","2018-12-10","25","0","-14.82","-14.82","D: KS Cross Buy","239.45522080066","-28.4856267861289"
"ABG","4","2","6","2018-12-11","26","2018-12-12","25","0","-3.85","-3.85","D: KS Cross Buy","106.685082294838","-38.9651240514293"
"ABG","4","2","6","2018-12-13","27.3","2018-12-27","25.7","0","-5.86","-5.86","D: KS Cross Buy","119.087367835281","-29.8026341810703"
"ABG","4","2","6","2018-12-28","26","2019-01-17","25.5","0","-1.92","-1.92","D: KS Cross Buy","19.1264748499277","-38.3381830369132"
"ABG","3","2","5","2019-01-21","27.3","2019-01-23","26.85","0","-1.65","-1.65","D: KS Cross Buy","-13.8704441493283","4.26284799260006"
"ABG","5","2","7","2019-01-28","28.8","2019-01-29","25.6","0","-11.11","-11.11","D: KS Cross Buy","63.794255177021","74.2572470307933"
"ABG","5","2","7","2019-01-30","28.7","2019-02-06","28","0","-2.44","-2.44","D: KS Cross Buy","36.6549433372417","76.9762050616795"
"ABS","2","0","2","2018-03-28","30.4","2018-04-02","28.85","0","-5.1","-5.1","D: KS Cross Buy","75.4050525992474","-110.873498930745"
"ABS","2","0","2","2018-07-16","24.95","2018-07-18","21.5","0","-13.83","-13.83","D: KS Cross Buy","7.59567630733208","-100.942222222222"
"ABS","2","0","2","2018-07-27","24.3","2018-09-04","23.8","0","-2.06","-2.06","D: KS Cross Buy","27.7468654944729","-127.056441407239"
"ABS","2","0","2","2018-10-18","21.2","2018-11-09","20.8","0","-1.89","-1.89","D: KS Cross Buy","21.870286576169","-113.050617548369"
"ABS","2","0","2","2018-12-20","19.92","2019-02-13","22.65","13.7","0","13.7","D: KS Cross Buy","62.7590290112485","-80.2751255712928"
"ABS","4","2","6","2019-02-14","23.2","2019-02-15","23","0","-0.86","-0.86","D: KS Cross Buy","-32.9107094685725","113.920774092743"
"ABSP","2","0","2","2018-07-27","22.95","2018-09-03","23.75","3.49","0","3.49","D: KS Cross Buy","75.610807015304","-112.832082375229"
"ABSP","2","0","2","2018-10-16","21.75","2018-10-24","20.15","0","-7.36","-7.36","D: KS Cross Buy","236.913755416651","-47.8403336312183"
"ABSP","3","0","3","2018-10-25","21.45","2018-11-12","20.1","0","-6.29","-6.29","D: KS Cross Buy","72.7581374232643","-45.0729927007298"
"ABSP","2","0","2","2019-01-08","19.4","2019-01-16","19","0","-2.06","-2.06","D: KS Cross Buy","161.137440758294","-50.8552935737402"
"ABSP","3","1","4","2019-01-21","20.1","2019-02-20","20","0","-0.5","-0.5","D: KS Cross Buy","184.425680203726","20.6710605152788"
"ABSP","5","1","6","2019-02-27","20.7","2019-02-28","20.15","0","-2.66","-2.66","D: KS Cross Buy","41.0401002506259","46.3115778944737"
"AC","4","5","9","2018-03-07","1060","2018-03-08","1038","0","-2.08","-2.08","D: KS Cross Buy","4.5549064263792","45.2186805040772"
"AC","2","1","3","2018-04-27","960","2018-05-02","930","0","-3.12","-3.12","D: KS Cross Buy","71.0018063081833","-109.48288381058"
"AC","2","1","3","2018-05-09","941","2018-05-10","937.5","0","-0.37","-0.37","D: KS Cross Buy","21.2156709618641","-90.7845715538024"
"AC","3","1","4","2018-05-11","970","2018-05-17","940","0","-3.09","-3.09","D: KS Cross Buy","127.112695069929","-67.7952791240354"
"AC","2","0","2","2018-05-22","954","2018-05-24","942","0","-1.26","-1.26","D: KS Cross Buy","24.3366075355534","-61.8393405527721"
"AC","3","0","3","2018-06-01","960","2018-06-13","937","0","-2.4","-2.4","D: KS Cross Buy","67.7274007321856","-48.2880010627347"
"AC","1","0","1","2018-07-04","928","2018-07-05","915","0","-1.4","-1.4","D: KS Cross Buy","-16.1230541141586","-74.4005612644959"
"AC","2","0","2","2018-07-11","938","2018-08-13","953.5","1.65","0","1.65","D: KS Cross Buy","99.120404945648","-63.6505651361534"
"AC","4","2","6","2018-08-17","999","2018-08-20","955","0","-4.4","-4.4","D: KS Cross Buy","-9.98179789795069","89.9653979238759"
"AC","4","2","6","2018-08-23","990","2018-09-05","973","0","-1.72","-1.72","D: KS Cross Buy","-6.67997338655995","88.3874000940296"
"AC","2","2","4","2018-09-27","950","2018-09-28","928","0","-2.32","-2.32","D: KS Cross Buy","37.9271879119775","-36.8776889981561"
"AC","3","0","3","2018-10-17","915","2018-10-18","906","0","-0.98","-0.98","D: KS Cross Buy","1.45288501452923","-73.5926215957542"
"AC","3","0","3","2018-10-22","928.5","2018-10-24","910","0","-1.99","-1.99","D: KS Cross Buy","37.6837600938646","-38.5889280269179"
"AC","2","0","2","2018-10-26","920","2018-10-30","900","0","-2.17","-2.17","D: KS Cross Buy","-6.11764705882368","-59.6335024329644"
"AC","3","0","3","2018-10-31","920","2018-11-08","902.5","0","-1.9","-1.9","D: KS Cross Buy","76.1888861062407","-36.2100076341175"
"AC","3","1","4","2018-11-19","945.5","2018-12-07","910","0","-3.75","-3.75","D: KS Cross Buy","141.56314699793","-12.9769299023958"
"AC","4","0","4","2018-12-11","938","2018-12-12","925","0","-1.39","-1.39","D: KS Cross Buy","-8.58427118185768","-21.673800200346"
"AC","5","3","8","2019-01-04","960","2019-01-16","919","0","-4.27","-4.27","D: KS Cross Buy","135.669074867335","63.2152255063946"
"AC","3","2","5","2019-02-15","961","2019-02-18","945","0","-1.66","-1.66","D: KS Cross Buy","192.897061474673","93.6180061331952"
"AC","2","2","4","2019-02-20","944","2019-02-28","925","0","-2.01","-2.01","D: KS Cross Buy","98.1374438021828","60.2578268876616"
"AC","3","1","4","2019-03-04","937","2019-03-11","926","0","-1.17","-1.17","D: KS Cross Buy","2.76272447136078","28.9929005654038"
"AC","3","3","6","2019-03-22","940","2019-03-25","922.5","0","-1.86","-1.86","D: KS Cross Buy","61.1044789317793","15.0204613095235"
"ACE","2","0","2","2017-12-14","1.5","2017-12-15","1.44","0","-4","-4","D: KS Cross Buy","141.435678749111","-89.9562312831144"
"ACE","1","0","1","2018-02-08","1.39","2018-02-09","1.35","0","-2.88","-2.88","D: KS Cross Buy","-50.8474576271182","-87.8652164640648"
"ACE","4","3","7","2018-03-05","1.75","2018-03-06","1.37","0","-21.71","-21.71","D: KS Cross Buy","501.640419947507","180.420923936774"
"ACE","4","2","6","2018-04-12","1.51","2018-04-13","1.36","0","-9.93","-9.93","D: KS Cross Buy","210.688196847367","89.9439102564102"
"ACE","3","1","4","2018-06-21","1.4","2018-06-22","1.3","0","-7.14","-7.14","D: KS Cross Buy","27.5579009088238","43.3482810164421"
"ACE","2","1","3","2018-06-26","1.39","2018-07-06","1.34","0","-3.6","-3.6","D: KS Cross Buy","100.854700854701","21.4177978883862"
"ACE","3","1","4","2018-07-16","1.4","2018-07-18","1.32","0","-5.71","-5.71","D: KS Cross Buy","139.583333333335","86.2745098039209"
"ACE","3","2","5","2018-07-31","1.4","2018-09-12","1.37","0","-2.14","-2.14","D: KS Cross Buy","106.741573033709","110.144927536232"
"ACE","5","3","8","2018-09-13","1.44","2018-09-19","1.4","0","-2.78","-2.78","D: KS Cross Buy","50.4082357117491","83.3333333333335"
"ACE","4","3","7","2018-09-20","1.44","2018-09-21","1.43","0","-0.69","-0.69","D: KS Cross Buy","48.1099656357379","116.93791440627"
"ACE","4","3","7","2018-09-26","1.43","2018-09-27","1.4","0","-2.1","-2.1","D: KS Cross Buy","-91.4774596906858","35.0877192982458"
"ACE","4","3","7","2018-10-01","1.43","2018-10-09","1.36","0","-4.9","-4.9","D: KS Cross Buy","18.1818181818193","76.4790764790766"
"ACE","3","3","6","2018-10-15","1.43","2018-10-19","1.37","0","-4.2","-4.2","D: KS Cross Buy","-3.38900992495727","31.6027088036115"
"ACE","5","3","8","2018-10-23","1.46","2018-10-26","1.31","0","-10.27","-10.27","D: KS Cross Buy","142.792178262848","76.0289035501097"
"ACE","3","3","6","2018-11-12","1.44","2018-11-13","1.31","0","-9.03","-9.03","D: KS Cross Buy","100.386100386101","99.5273839310533"
"ACE","4","3","7","2018-11-23","1.46","2018-11-28","1.26","0","-13.7","-13.7","D: KS Cross Buy","84.7092605886579","12.0481927710838"
"ACE","4","2","6","2018-11-29","1.44","2018-12-18","1.45","0.69","0","0.69","D: KS Cross Buy","97.2620184654573","-16.3807757688154"
"ACE","2","0","2","2019-03-21","1.33","2019-03-22","1.24","0","-6.77","-6.77","D: KS Cross Buy","56.5177757520513","-83.4512022630834"
"ACPB1","5","2","7","2017-09-08","525","2017-09-11","515","0","-1.9","-1.9","D: KS Cross Buy","222.140039447741","73.7735707309725"
"ACPB1","5","2","7","2017-09-20","525","2017-11-13","530","0.95","0","0.95","D: KS Cross Buy","169.261477045911","138.933764135703"
"ACPB1","5","5","10","2017-11-17","549","2017-11-21","520","0","-5.28","-5.28","D: KS Cross Buy","210.788574077295","140.494613867395"
"ACPB1","4","4","8","2017-12-15","540","2017-12-19","515.5","0","-4.54","-4.54","D: KS Cross Buy","111.241492607369","42.4731182795703"
"ACPB1","4","4","8","2017-12-21","537.5","2018-01-08","517","0","-3.81","-3.81","D: KS Cross Buy","77.5178026449651","45.6338028169034"
"ACPB1","2","3","5","2018-01-19","531","2018-01-30","516","0","-2.82","-2.82","D: KS Cross Buy","32.4376664245947","-34.0136054421752"
"ACPB1","2","1","3","2018-02-28","518","2018-03-02","510","0","-1.54","-1.54","D: KS Cross Buy","28.0021540118461","-102.102102102102"
"ACPB1","2","1","3","2018-03-15","518","2018-03-20","515","0","-0.58","-0.58","D: KS Cross Buy","157.129000969932","-68.6835650040881"
"ACPB1","2","0","2","2018-04-10","510","2018-04-13","508","0","-0.39","-0.39","D: KS Cross Buy","45.8681522748363","-59.4405594405591"
"ACPB1","2","0","2","2018-04-20","510","2018-04-27","508","0","-0.39","-0.39","D: KS Cross Buy","40.8692831657473","-62.1127122062109"
"ACPB1","1","0","1","2018-05-15","500","2018-05-22","495","0","-1","-1","D: KS Cross Buy","-48.811296070735","-121.508140531277"
"ACPB1","1","0","1","2018-05-23","500","2018-06-06","493","0","-1.4","-1.4","D: KS Cross Buy","-11.7498490089502","-110.376492194673"
"ACPB1","1","0","1","2018-06-08","499","2018-06-22","495","0","-0.8","-0.8","D: KS Cross Buy","-20.2125805889539","-109.153912792376"
"ACPB1","2","0","2","2018-06-26","500","2018-07-06","496","0","-0.8","-0.8","D: KS Cross Buy","68.9079637577484","-53.3901745838431"
"ACPB1","3","0","3","2018-07-10","501","2018-08-17","495","0","-1.2","-1.2","D: KS Cross Buy","118.348564391733","-47.2952086553321"
"ACPB1","3","0","3","2018-08-24","501","2018-08-29","490","0","-2.2","-2.2","D: KS Cross Buy","49.8297740637581","-72.1040189125297"
"ACPB1","4","1","5","2018-08-30","504","2018-09-07","490","0","-2.78","-2.78","D: KS Cross Buy","76.8361581920901","-13.8396624472565"
"ACPB1","4","0","4","2018-09-14","501","2018-09-18","490","0","-2.2","-2.2","D: KS Cross Buy","53.4105534105532","-39.8457583547561"
"ACPB1","2","0","2","2019-01-07","460","2019-01-11","456","0","-0.87","-0.87","D: KS Cross Buy","26.4824409902124","-59.4501385934376"
"ACPB1","3","1","4","2019-01-14","471.8","2019-02-08","452","0","-4.2","-4.2","D: KS Cross Buy","172.52994011976","13.2579954206366"
"ACPB1","4","1","5","2019-02-11","475","2019-02-14","460","0","-3.16","-3.16","D: KS Cross Buy","77.6475993567659","82.2201511856689"
"ACPB1","4","1","5","2019-02-19","475.2","2019-03-08","465","0","-2.15","-2.15","D: KS Cross Buy","62.016941816607","109.864825999426"
"ACPB1","2","1","3","2019-03-12","470","2019-03-18","465","0","-1.06","-1.06","D: KS Cross Buy","-27.6721588508651","70.2860200987091"
"ACPB1","4","1","5","2019-03-20","474.6","2019-03-25","465","0","-2.02","-2.02","D: KS Cross Buy","54.1663715142513","78.4180790960451"
"ACPB2","5","2","7","2017-09-19","527","2017-09-20","520.5","0","-1.23","-1.23","D: KS Cross Buy","165.956583485491","218.225419664264"
"ACPB2","5","2","7","2017-09-21","524","2017-10-09","525","1.15","0","0.19","D: KS Cross Buy","81.3539192399036","156.799656799657"
"ACPB2","5","3","8","2017-10-11","530","2017-10-12","520","0","-1.89","-1.89","D: KS Cross Buy","109.345440786986","145.354717526368"
"ACPB2","5","3","8","2017-10-13","530","2017-10-18","520","0","-1.89","-1.89","D: KS Cross Buy","97.0654627539492","115.722147850662"
"ACPB2","5","2","7","2017-10-30","530","2017-11-07","515.5","0","-2.74","-2.74","D: KS Cross Buy","87.0387890255444","155.950366610265"
"ACPB2","5","4","9","2017-11-16","535","2017-11-23","520","0","-2.8","-2.8","D: KS Cross Buy","91.2476722532589","113.402763596763"
"ACPB2","5","4","9","2017-11-27","531","2017-12-13","521","0","-1.88","-1.88","D: KS Cross Buy","69.6721311475415","103.905160390517"
"ACPB2","5","5","10","2017-12-27","528.5","2018-01-04","516","0","-2.37","-2.37","D: KS Cross Buy","53.4950895436167","82.3161189358392"
"ACPB2","3","5","8","2018-01-19","527.5","2018-01-31","515.5","0","-2.27","-2.27","D: KS Cross Buy","24.9393498301807","6.84582331949577"
"ACPB2","3","4","7","2018-02-02","527","2018-02-06","518","0","-1.71","-1.71","D: KS Cross Buy","54.9061758251603","-18.1259600614442"
"ACPB2","2","2","4","2018-03-12","525","2018-03-14","514","0","-2.1","-2.1","D: KS Cross Buy","231.235916103309","-7.75909846665568"
"ACPB2","3","0","3","2018-04-16","520","2018-04-18","503","0","-3.27","-3.27","D: KS Cross Buy","42.025316455697","-51.9690122659766"
"ACPB2","3","3","6","2018-04-23","524","2018-04-26","503.5","0","-3.91","-3.91","D: KS Cross Buy","214.764112754838","77.9914529914555"
"ACPB2","3","0","3","2018-05-28","513","2018-06-08","508","0","-0.97","-0.97","D: KS Cross Buy","13.6470588235299","-57.5003007337915"
"ACPB2","1","0","1","2018-07-11","508","2018-07-13","501","0","-1.38","-1.38","D: KS Cross Buy","-18.6710598572225","-72.3039215686285"
"ACPB2","2","0","2","2018-07-19","508","2018-07-20","501","0","-1.38","-1.38","D: KS Cross Buy","26.6666666666673","-51.3307984790873"
"ACPB2","2","0","2","2018-08-22","505","2018-08-29","502.5","0","-0.5","-0.5","D: KS Cross Buy","39.388919565619","-27.274759669124"
"ACPB2","1","0","1","2018-09-19","502","2018-09-20","495.4","0","-1.31","-1.31","D: KS Cross Buy","-70.4106280193215","-125"
"ACPB2","2","0","2","2018-10-08","499","2018-10-18","495","0","-0.8","-0.8","D: KS Cross Buy","12.1947243144532","-107.354212381142"
"ACPB2","2","0","2","2018-11-20","492","2019-02-12","480","0","-2.44","-2.44","D: KS Cross Buy","-60.7101947308133","-117.833686975852"
"ACPB2","4","2","6","2019-02-13","498","2019-03-18","484","0","-2.81","-2.81","D: KS Cross Buy","61.3486909283979","19.2217533989691"
"ACR","1","0","1","2018-03-06","1.29","2018-03-07","1.28","0","-0.78","-0.78","D: KS Cross Buy","-47.953216374267","-130.281690140845"
"ACR","5","2","7","2018-03-09","1.38","2018-03-19","1.3","0","-5.8","-5.8","D: KS Cross Buy","359.437751004018","4.00801603206427"
"ACR","1","0","1","2018-04-27","1.27","2018-05-03","1.26","0","-0.79","-0.79","D: KS Cross Buy","-19.2592592592611","-94.2028985507244"
"ACR","2","0","2","2018-05-04","1.28","2018-05-07","1.26","0","-1.56","-1.56","D: KS Cross Buy","-65.7276995305199","-94.3542150038668"
"ACR","2","0","2","2018-05-08","1.27","2018-05-10","1.26","0","-0.79","-0.79","D: KS Cross Buy","62.8571428571413","-96.1221122112213"
"ACR","2","0","2","2018-05-11","1.28","2018-05-15","1.23","0","-3.91","-3.91","D: KS Cross Buy","169.34619506967","-88.7230514096186"
"ACR","1","0","1","2018-05-25","1.25","2018-05-29","1.28","2.4","0","2.4","D: KS Cross Buy","-45.7142857142844","-127.770534550196"
"ACR","2","0","2","2018-07-23","1.18","2018-08-13","1.21","2.54","-0.85","2.54","D: KS Cross Buy","24.1969128076758","-105.534105534106"
"ACR","5","2","7","2018-08-24","1.26","2018-08-28","1.21","0","-3.97","-3.97","D: KS Cross Buy","200.364298724954","55.9835644581413"
"ACR","5","2","7","2018-08-31","1.25","2018-09-03","1.2","0","-4","-4","D: KS Cross Buy","65.7511444028291","33.1753554502378"
"ACR","4","2","6","2018-09-25","1.29","2018-11-06","1.26","0","-2.33","-2.33","D: KS Cross Buy","240.634920634921","78.3821478382154"
"ACR","4","3","7","2018-11-13","1.29","2018-11-15","1.23","0","-4.65","-4.65","D: KS Cross Buy","-20.8926875593544","69.9338463615497"
"ACR","4","2","6","2018-11-29","1.28","2018-12-03","1.24","0","-3.13","-3.13","D: KS Cross Buy","78.6516853932572","53.7582488330923"
"ACR","3","3","6","2018-12-11","1.28","2018-12-12","1.23","0","-3.91","-3.91","D: KS Cross Buy","123.076923076922","55.1876379690952"
"ACR","4","4","8","2018-12-14","1.29","2018-12-19","1.24","0","-3.88","-3.88","D: KS Cross Buy","179.487179487183","63.3245382585753"
"ACR","4","4","8","2018-12-26","1.29","2019-01-30","1.33","3.1","0","3.1","D: KS Cross Buy","170.64122946476","101.06085985483"
"ACR","5","5","10","2019-01-31","1.39","2019-03-01","1.46","5.04","0","5.04","D: KS Cross Buy","9.10746812386153","142.41134751773"
"ACR","4","5","9","2019-03-25","1.51","2019-03-26","1.47","0","-2.65","-2.65","D: KS Cross Buy","142.678347934918","105.072463768116"
"AEV","4","5","9","2018-03-12","75.95","2018-03-16","72.05","0","-5.13","-5.13","D: KS Cross Buy","33.3451578573966","65.129387650525"
"AEV","2","0","2","2018-04-27","69.6","2018-05-03","63","0","-9.48","-9.48","D: KS Cross Buy","19.3420708711401","-98.0905743461264"
"AEV","2","0","2","2018-05-25","65","2018-05-28","63.4","0","-2.46","-2.46","D: KS Cross Buy","19.0746993661511","-103.524711643792"
"AEV","2","0","2","2018-06-08","64","2018-06-18","61","0","-4.69","-4.69","D: KS Cross Buy","57.6298930375638","-99.1137501103085"
"AEV","2","0","2","2018-06-19","62.2","2018-06-20","59.75","0","-3.94","-3.94","D: KS Cross Buy","-95.8423776924373","-109.198828782278"
"AEV","2","0","2","2018-07-27","55","2018-08-17","56","1.82","0","1.82","D: KS Cross Buy","104.317444472174","-116.434149337545"
"AEV","2","0","2","2018-08-23","57","2018-08-28","54","0","-5.26","-5.26","D: KS Cross Buy","-24.6762099522832","-54.8136818505663"
"AEV","1","0","1","2018-10-19","47.8","2018-10-24","47.1","0","-1.46","-1.46","D: KS Cross Buy","-14.5870545207116","-114.875581077386"
"AEV","2","0","2","2018-11-09","47","2018-11-12","45","0","-4.26","-4.26","D: KS Cross Buy","9.93555316863602","-82.8714700448668"
"AEV","3","0","3","2018-11-19","46.85","2018-12-07","50.3","7.36","0","7.36","D: KS Cross Buy","21.3799805636538","-68.4607559483705"
"AEV","4","1","5","2018-12-10","50.6","2019-02-13","63","24.51","0","24.51","D: KS Cross Buy","19.4473963868224","0.454597113308402"
"AEV","5","4","9","2019-02-15","66","2019-02-18","63.55","0","-3.71","-3.71","D: KS Cross Buy","21.9209691375826","114.691439946914"
